SiteID,FieldWetlandType,FieldVeldAge,FieldAliensWithin20m,Latitude,Longitude,PairID,RecordingNum,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandType,LandCoverClass,ElevationClass,FireClass
s2lam165_230725,"Not available","Not available","Not available",-33.9293,22.4523,454,1008,23,7,25,"Wet season",Y,Y,,"Forest-Woodland","Medium: 500-1000 m","1-to-6 years"
s2lam088_231020,"Within 50 m of a river or stream","Old (> 17 yrs)","None",-33.97995,22.611579,453,719,23,10,20,"Dry season",Y,Y,"Estuary","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam104_230711,"Not available","Not available","Not available",-33.98,22.6116,453,571,23,7,11,"Wet season",Y,Y,"Estuary","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam084_230605,"Not available","Not available","Not available",-33.628138,22.9347,452,989,23,6,5,"Wet season",Y,Y,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam137_231122,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-33.628208,22.93466,452,864,23,11,22,"Dry season",Y,Y,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam104_231011,"Within 50 m of a river or stream","Old (> 17 yrs)","None",-33.96827,23.402442,451,725,23,10,11,"Dry season",Y,N,"Estuary","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam107_230703,"Not available","Not available","Not available",-33.9682,23.4026,451,569,23,7,3,"Wet season",Y,N,"Estuary","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam042_230805,"Not available","Not available","Not available",-32.534946,19.331781,450,843,23,8,5,"Wet season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","25+ years"
s2lam092_231106,"Not near (100 m) any water","Old (> 17 yrs)","None",-32.534947,19.331823,450,697,23,11,6,"Dry season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","25+ years"
s2lam115_230714,"Not available","Not available","Not available",-33.7342,21.9351,449,994,23,7,14,"Wet season",Y,Y,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam162_231010,"Not available","Not available","Not available",-33.734169,21.935163,449,1009,23,10,10,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam093_231117,"Not near (100 m) any water","Old (> 17 yrs)","None",-34.055364,23.218689,448,723,23,11,17,"Dry season",Y,Y,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam104_230811,"Not available","Not available","Not available",-34.055338,23.218673,448,715,23,8,11,"Wet season",Y,Y,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam001_231013,"Within 50 m of a river or stream","Not available","None",-33.284607,22.05201,447,962,23,10,13,"Dry season",Y,N,,"Grassland","Medium: 500-1000 m","No data or No Fire"
s2lam118_230713,"Not available","Not available","Not available",-33.2847,22.0519,447,837,23,7,13,"Wet season",Y,N,,"Grassland","Medium: 500-1000 m","No data or No Fire"
s2lam076_231107,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.525748,23.709347,446,870,23,11,7,"Dry season",Y,Y,,"Shrubland","Medium: 500-1000 m","No data or No Fire"
s2lam160_230812,"Not available","Not available","Not available",-33.5258,23.7094,446,1002,23,8,12,"Wet season",Y,Y,,"Shrubland","Medium: 500-1000 m","No data or No Fire"
s2lam010_230807,"Not available","Not available","Not available",-33.1736,18.1374,445,1144,23,8,7,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam047_231128,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.173597,18.137392,445,1189,23,11,28,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam071_231115,"Not near (100 m) any water","Intermediate (6-17 yrs)","Rare to Very Scattered",-34.107225,18.438795,444,590,23,11,15,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam086_230710,"Not available","Not available","Not available",-34.107227,18.438773,444,578,23,7,10,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
